OrderID,Date,Product,Category,Quantity,Price,Region
1001,2024-01-01,Laptop,Electronics,2,60000,South
1002,2024-01-02,Phone,Electronics,1,25000,North
1003,2024-01-03,Tablet,Electronics,3,18000,East
1004,2024-01-04,Headphones,Electronics,5,3000,West
1005,2024-01-05,Chair,Furniture,4,5000,South
1006,2024-01-06,Table,Furniture,2,12000,North
1007,2024-01-07,Sofa,Furniture,1,35000,East
1008,2024-01-08,Bed,Furniture,1,45000,West
1009,2024-01-09,T-Shirt,Clothing,6,1200,South
1010,2024-01-10,Jeans,Clothing,3,2500,North
1011,2024-01-11,Jacket,Clothing,2,4000,East
1012,2024-01-12,Shoes,Clothing,4,3000,West
1013,2024-01-13,Watch,Accessories,2,8000,South
1014,2024-01-14,Backpack,Accessories,3,2500,North
1015,2024-01-15,Sunglasses,Accessories,5,1500,East
1016,2024-01-16,Belt,Accessories,6,900,West
1017,2024-02-01,Laptop,Electronics,1,60000,North
1018,2024-02-02,Chair,Furniture,2,5000,East
1019,2024-02-03,T-Shirt,Clothing,4,1200,West
1020,2024-02-04,Watch,Accessories,1,8000,South
